GeneSymbol	OAM091ctrl	OAM093ctrl	OAM094ctrl	OAM091stim	OAM093stim	OAM094stim
A1BG	15	4	2	0	3	3
A1BG-AS1	14	0	9	136	0	0
A1CF	0	0	9	0	0	0
A2M	0	0	1	42	7	3
A2M-AS1	0	6	3	0	0	31
A2ML1	13	2	6	16	4	4
A2MP1	0	0	0	0	0	0
A3GALT2	2	0	0	4	3	1
A4GALT	0	1	10	6	82	12
A4GNT	0	0	3	0	0	3
AA06	2	0	0	0	0	0
AAAS	3	2	23	3	13	3
AACS	3	2	2	3	5	189
AACSP1	0	4	1	6	0	3
AADAC	1	0	0	0	0	0
AADACL2	1	0	5	0	0	0
AADACL3	0	3	0	0	0	2
AADACL4	0	0	3	0	1	0
AADAT	0	0	2	3	0	0
AAED1	1	0	0	0	0	0
AAGAB	0	4	9	3	0	2
AAK1	41	137	417	140	366	1071
AAMDC	0	0	0	0	425	0
AAMP	4	33	5	37	3	33
AANAT	6	3	6	3	9	6
AAR2	0	8	17	0	59	19
AARD	0	3	3	1	4	0
AARS	14	5	12	11	110	4
AARS2	8	0	0	19	9	2
AARSD1	8	0	5	2	4	6
AASDH	6	6	5	2	0	7
AASDHPPT	3	2	0	0	0	0
AASS	17	0	2	2	0	0
AATF	12	22	12	19	121	614
AATK	16	109	19	131	144	18
AATK-AS1	7	2	3	1	4	7
ABAT	10	15	12	8	4	14
ABCA1	351	439	278	820	961	318
ABCA10	0	0	0	0	0	0
ABCA11P	7	1	0	1	32	16
ABCA12	4	0	0	0	0	3
ABCA13	39	9	154	3	42	3
ABCA17P	4	4	11	3	2	9
ABCA2	11	6	9	5	12	19
ABCA3	14	4	42	35	11	16
ABCA4	0	0	0	0	2	11
ABCA5	3	0	9	6	6	0
ABCA6	0	2	0	1	0	1
ABCA7	39	12	36	8	122	13
ABCA8	4	1	1	0	5	5
ABCA9	1	2	0	3	2	0
ABCB1	2	3	4	3	0	3
ABCB10	0	6	11	9	0	4
ABCB11	6	0	3	35	3	2
ABCB4	0	0	3	0	0	3
ABCB5	0	0	7	0	0	0
ABCB6	11	3	22	3	3	7
ABCB7	0	0	1	0	3	2
ABCB8	0	15	5	7	24	6
ABCB9	3	0	17	8	1	3
ABCC1	11	39	378	241	251	554
ABCC10	21	2	247	6	4	17
ABCC11	16	1	17	3	6	3
ABCC12	1	1	10	2	0	3
ABCC13	0	0	2	2	0	0
ABCC2	8	12	2	4	6	6
ABCC3	5	21	137	98	53	12
ABCC4	8	1	4	0	0	9
ABCC5	2	2	18	1	3	6
ABCC5-AS1	0	0	0	0	0	0
ABCC6	0	2	6	3	2	38
ABCC6P1	8	0	9	0	0	5
ABCC6P2	0	0	1	0	3	0
ABCC8	2	4	8	3	5	4
ABCC9	0	0	3	2	0	3
ABCD1	8	137	10	26	2	8
ABCD2	1	8	0	7	3	0
ABCD3	0	0	0	0	1	0
ABCD4	5	7	17	4	6	2
ABCE1	0	0	3	5	11	0
ABCF1	416	42	325	255	203	329
ABCF2	2	6	82	5	3	2
ABCF3	3	24	3	8	263	28
ABCG1	0	0	14	2	0	9
ABCG2	0	0	1	1	2	0
ABCG4	8	6	16	0	11	2
ABCG5	4	1	2	0	0	1
ABCG8	1	1	3	0	1	7
ABHD1	0	5	6	14	4	6
ABHD10	2	0	0	0	209	6
ABHD11	2	0	30	4	8	2
ABHD12	2	1	1	48	30	243
ABHD12B	0	1	2	0	1	0
ABHD13	9	3	3	3	3	9
ABHD14A	3	2	3	1	1	0
ABHD14A-ACY1	2	8	4	5	1	1
ABHD14B	0	10	3	3	0	7
ABHD15	3	6	5	3	6	3
ABHD16A	4	15	3	0	167	5
ABHD16B	10	12	7	6	51	381
ABHD17A	3	12	18	3	17	8
ABHD17B	2	3	0	23	1	3
ABHD17C	17	126	144	169	213	193
ABHD2	21	0	3	18	20	24
ABHD3	0	1	110	11	1	234
ABHD4	12	9	5	0	267	30
ABHD5	6	3	15	8	13	1
ABHD6	3	0	3	0	0	0
ABHD8	3	6	12	10	4	4
ABI1	5	16	16	62	82	22
ABI2	10	4	18	19	18	11
ABI3	3	3	10	3	0	0
ABI3BP	3	0	0	0	0	0
ABL1	111	10	9	9	301	45
ABL2	23	24	38	61	1059	764
ABLIM1	0	4	227	7	3	13
ABLIM2	5	2	7	0	1	1
ABLIM3	15	1	3	24	0	1
ABO	3	0	3	0	5	1
ABR	203	33	39	277	2268	38
ABRA	3	7	3	2	6	5
ABRACL	8	0	0	11	0	0
ABT1	0	0	8	3	25	3
ABTB1	0	3	2	21	134	163
ABTB2	4	0	3	98	209	167
AC000099.1	0	0	0	0	0	0
AC000124.1	0	0	0	3	0	0
AC002115.5	4	0	0	0	3	0
AC002398.5	3	15	7	4	6	0
AC002454.1	0	0	0	1	0	0
AC002463.3	0	0	5	1	0	1
AC002480.3	0	0	3	0	3	3
AC002511.1	6	9	4	5	4	9
AC003051.1	0	0	1	0	2	0
AC003102.3	6	21	30	0	9	5
AC003665.1	3	2	1	1	0	0
AC003958.2	3	0	0	0	0	2
AC003984.1	0	0	1	0	0	2
AC004562.1	0	0	0	0	0	0
AC004603.4	0	0	0	0	0	0
AC004862.6	0	0	0	0	0	0
AC004893.11	0	3	3	5	7	0
AC005022.1	2	0	0	0	0	0
AC005029.1	0	3	0	0	0	0
AC005062.2	0	0	0	0	0	0
AC005152.3	0	0	0	0	0	0
AC005235.1	3	0	3	6	0	0
AC005264.2	15	3	14	56	18	5
AC005356.1	0	3	1	1	1	0
AC005358.3	0	0	0	0	0	0
AC005550.4	0	0	0	0	0	0
AC005592.1	0	0	0	5	3	1
AC005594.3	0	0	19	12	0	12
AC006004.1	0	0	3	0	0	0
AC006115.3	0	0	3	0	0	0
AC006129.4	0	0	0	0	0	0
AC006145.4	0	0	0	0	0	0
AC006196.1	0	0	5	0	0	6
AC006372.4	9	0	3	3	3	0
AC007038.7	0	0	0	0	0	0
AC007040.7	0	0	4	0	0	0
AC007099.1	0	0	0	0	0	0
AC007131.1	0	0	0	0	0	3
AC007163.3	2	0	0	3	8	0
AC007163.6	0	2	9	8	23	7
AC007182.6	3	3	4	73	0	1
AC007246.3	191	0	3	1	0	2
AC007249.3	3	0	0	0	2	0
AC007359.6	0	3	3	0	0	0
AC007365.1	11	3	2	3	4	0
AC007386.2	9	0	10	9	0	0
AC007392.3	0	0	3	0	0	0
AC007392.4	0	0	0	0	0	0
AC007403.1	0	0	0	0	0	0
AC007403.2	0	0	0	0	0	0
AC007403.3	1	0	0	0	0	1
AC007405.4	0	0	3	0	0	0
AC007461.2	0	0	0	1	0	0
AC007463.2	0	0	0	0	0	1
AC007740.1	0	0	0	0	0	0
AC007750.5	0	0	5	0	0	0
AC007773.2	0	0	6	0	0	3
AC007879.2	0	0	0	0	0	0
AC007880.1	0	0	3	2	3	1
AC007966.1	0	0	1	0	0	0
AC007970.1	0	0	3	0	1	0
AC008697.1	0	0	0	3	0	0
AC008703.1	0	0	0	4	0	3
AC009120.4	0	0	4	0	0	3
AC009227.2	0	0	0	0	0	0
AC009264.1	0	0	28	0	0	0
AC009299.2	0	0	0	1	0	0
AC009299.3	0	0	0	3	3	0
AC009473.1	0	0	0	0	0	0
AC009501.4	2	0	1	0	0	0
AC009518.4	0	0	2	0	0	0
AC009948.5	3	0	1	0	0	0
AC010090.1	0	0	0	0	2	0
AC010127.3	0	0	0	0	0	0
AC010226.4	0	14	0	2	0	0
AC010524.2	6	9	13	6	2	0
AC010731.4	0	0	0	3	0	0
AC010884.1	0	3	0	0	6	0
AC010890.1	0	0	3	0	0	0
AC010975.1	0	0	0	0	0	1
AC010987.6	0	0	0	0	0	0
AC011343.1	0	0	0	3	0	1
AC011518.1	0	0	0	6	0	0
AC011609.3	0	0	0	0	0	0
AC011738.4	0	3	0	9	0	0
AC011747.4	3	3	5	0	2	9
AC011747.7	0	0	0	0	0	0
AC011899.9	0	148	6	0	9	3
AC012075.2	0	0	0	0	0	0
AC012309.5	1	1	0	0	0	4
AC012462.2	0	0	9	0	0	0
AC012494.1	0	0	0	0	0	0
AC012507.3	0	0	3	0	0	0
AC012594.1	3	0	2	0	5	1
AC015922.6	3	0	3	1	173	0
AC016582.2	4	0	1	0	9	1
AC016629.8	5	7	4	8	6	5
AC016735.2	1	0	0	0	0	0
AC016738.3	0	0	0	0	0	0
AC016910.1	0	1	0	0	0	0
AC016995.3	0	1	1	0	0	0
AC017048.4	0	0	0	0	4	0
AC017060.1	0	0	0	0	1	0
AC018464.3	0	0	2	0	1	0
AC018470.4	9	4	0	0	5	9
AC018647.3	0	2	0	0	0	0
AC018705.5	0	0	0	201	0	0
AC018742.1	0	0	0	6	0	0
AC018766.5	82	0	1	1	26	13
AC018799.1	0	0	0	0	0	0
AC019048.1	0	0	0	0	0	1
AC019117.1	0	0	0	0	0	0
AC019181.2	0	0	0	0	0	0
AC020571.3	0	0	0	0	2	0
AC022007.5	3	0	3	0	3	0
AC022173.2	0	0	0	0	0	0
AC024592.9	5	0	1	2	0	0
